pl_name,hostname,disc_year,discoverymethod,sy_snum,sy_pnum,sy_mnum,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,pl_insol,pl_dens,pl_orbeccen,pl_bmasse,st_spectype,st_teff,st_rad,st_mass,st_age,ra,dec,sy_dist
TOI-2458 b,TOI-2458,2024,Transit,1,2,0,2.83,13.31,3.73659,0.0482,1509.4,865.0,3.23,0.087,13.31,F9-F9.5,6005.0,1.31,1.05,5.7,79.621529,1.253439,112.958
TOI-2580 b,TOI-2580,2024,Transit,1,1,0,17.37392009,200.23189641,3.39775,0.048,2410.0,1730.0,0.22,0.08,200.23189641,F,6120.0,1.81,1.33,2.0,62.1992072,67.1165264,379.253
TOI-2641 b,TOI-2641,2023,Transit,1,1,0,18.10250383,122.6817651,4.880974,0.0607,1387.0,602.0,0.092,0.18,122.6817651,F9 V,6100.0,1.336,1.16,10.8,171.1303716,-42.7321394,344.045
TOI-3261 b,TOI-3261,2024,Transit,1,1,0,3.82,30.3,0.8831331,0.01714,1722.0,1466.0,3.0,0.0,30.3,K1.5+/-1,5068.0,0.849,0.861,6.5,47.7285242,-73.531972,300.141
TOI-3629 b,TOI-3629,2022,Transit,1,1,0,8.29464572,82.63538582,3.936551,0.043,690.0,39.0,0.8,0.05,82.63538582,M1,3870.0,0.6,0.63,7.0,359.7933851,39.3142556,130.091
TOI-3714 b,TOI-3714,2022,Transit,2,1,0,11.32107051,222.4798849,2.154849,0.027,750.0,54.0,0.85,0.03,222.4798849,M2,3660.0,0.51,0.53,2.9,69.5523415,39.4580035,112.71
TOI-3757 b,TOI-3757,2022,Transit,1,1,0,12.0,85.3,3.438753,0.03845,759.0,55.4,0.27,0.14,85.3,M0 V,3913.0,0.62,0.64,7.1,91.0036423,55.0199793,181.139
TOI-3785 b,TOI-3785,2023,Transit,1,1,0,5.14,14.95,4.6747373,0.043,582.0,19.1,0.61,0.11,14.95,M2 V,3576.0,0.5,0.52,8.0,130.9002258,63.0780768,79.7634
TOI-3984 A b,TOI-3984 A,2023,Transit,2,1,0,7.9,44.0,4.353326,0.041,563.0,16.7,0.49,0.23,44.0,M4+/-0.5,3476.0,0.47,0.49,2.9,226.3371468,36.7869747,108.883
TOI-4010 b,TOI-4010,2023,Transit,1,4,0,3.02,11.0,1.348335,0.0229,1441.0,714.0,2.2,0.03,11.0,K V,4960.0,0.83,0.88,6.1,20.2148196,66.0722009,177.504
TOI-4010 c,TOI-4010,2023,Transit,1,4,0,5.93,20.31,5.414654,0.058,907.0,112.0,0.5,0.03,20.31,K V,4960.0,0.83,0.88,6.1,20.2148196,66.0722009,177.504
TOI-4010 d,TOI-4010,2023,Transit,1,4,0,6.18,38.15,14.70886,0.113,650.0,30.0,0.9,0.07,38.15,K V,4960.0,0.83,0.88,6.1,20.2148196,66.0722009,177.504
TOI-4127 b,TOI-4127,2023,Transit,1,1,0,12.28504285,731.0053361,56.39879,0.3081,605.1,22.3,2.17,0.7471,731.0053361,F V,6096.0,1.293,1.23,4.8,105.4045516,72.4149297,319.632
TOI-4201 b,TOI-4201,2023,Transit,1,1,0,13.67495645,788.21444936,3.5819194,0.04,725.0,45.2,1.82,0.041,788.21444936,M1.0+/-0.5,3794.0,0.63,0.61,1.4,90.4747237,-13.461371,189.011
TOI-421 b,TOI-421,2020,Transit,2,2,0,2.68,7.17,5.19672,0.056,981.4,154.57,2.05,0.163,7.17,G9 V,5325.0,0.871,0.852,9.4,81.8532824,-14.2767404,74.7969
